Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P10_S11_L002_R1_001	P10_S11_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260956117.0	0.0	28.0	45.0	11.495137472984524	28.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
P10_S11_L002_R2_001	P10_S11_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260956117.0	0.0	150.0	43.0	37.547457585172964	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
P11_S12_L002_R1_001	P11_S12_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	261899141.0	0.0	28.0	45.0	17.145100747768584	28.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
P11_S12_L002_R2_001	P11_S12_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	261899141.0	0.0	150.0	42.0	50.383464128168264	150.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
P12_S24_L003_R1_001	P12_S24_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204893322.0	0.0	28.0	45.0	21.876439719546532	28.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
P12_S24_L003_R2_001	P12_S24_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204893322.0	0.0	150.0	42.0	49.938905834009034	150.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
P12_S24_L004_R1_001	P12_S24_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206528023.0	0.0	28.0	45.0	21.716709932414922	28.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
P12_S24_L004_R2_001	P12_S24_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206528023.0	0.0	150.0	42.0	49.04098338851774	150.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
P13_S1_L002_R1_001	P13_S1_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17738456.0	0.0	28.0	45.0	16.08650283083968	28.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
P13_S1_L002_R2_001	P13_S1_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17738456.0	0.0	150.0	45.0	54.81788348234521	150.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
P14_S20_L003_R1_001	P14_S20_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	505935682.0	0.0	28.0	45.0	19.45920945406095	28.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
P14_S20_L003_R2_001	P14_S20_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	505935682.0	0.0	150.0	44.0	36.94334894338265	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P14_S20_L004_R1_001	P14_S20_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508376451.0	0.0	28.0	45.0	18.93057195404126	28.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
P14_S20_L004_R2_001	P14_S20_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508376451.0	0.0	150.0	44.0	36.24963438522423	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
