Module	Section	Sample Name	Source
FastQC	all_sections	P10_S11_L002_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P10_S11_L002_R1_001_fastqc.zip
FastQC	all_sections	P10_S11_L002_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P10_S11_L002_R2_001_fastqc.zip
FastQC	all_sections	P11_S12_L002_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P11_S12_L002_R1_001_fastqc.zip
FastQC	all_sections	P11_S12_L002_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P11_S12_L002_R2_001_fastqc.zip
FastQC	all_sections	P12_S24_L003_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P12_S24_L003_R1_001_fastqc.zip
FastQC	all_sections	P12_S24_L003_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P12_S24_L003_R2_001_fastqc.zip
FastQC	all_sections	P12_S24_L004_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P12_S24_L004_R1_001_fastqc.zip
FastQC	all_sections	P12_S24_L004_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P12_S24_L004_R2_001_fastqc.zip
FastQC	all_sections	P13_S1_L002_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P13_S1_L002_R1_001_fastqc.zip
FastQC	all_sections	P13_S1_L002_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P13_S1_L002_R2_001_fastqc.zip
FastQC	all_sections	P14_S20_L003_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/01_set1/P14_S20_L003_R1_001_fastqc.zip
