Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
01_P_21_S1_L001_I1_001	01_P_21_S1_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74661927.0	0.0	10.0	59.0	4.687797570507389e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L001_I2_001	01_P_21_S1_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74661927.0	0.0	10.0	30.0	4.687797570507389e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L002_I1_001	01_P_21_S1_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73554277.0	0.0	10.0	59.0	4.758390868283567e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L002_I2_001	01_P_21_S1_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73554277.0	0.0	10.0	30.0	4.894344893091669e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L003_I1_001	01_P_21_S1_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68920918.0	0.0	10.0	59.0	5.078284070447233e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L003_I2_001	01_P_21_S1_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68920918.0	0.0	10.0	30.0	5.368471731615647e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L004_I1_001	01_P_21_S1_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67414708.0	0.0	10.0	59.0	5.3400809805480435e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L004_I2_001	01_P_21_S1_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67414708.0	0.0	10.0	30.0	5.4884165633410435e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L001_I1_001	02_P_22_S2_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74111809.0	0.0	10.0	59.0	4.722594208974173e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L001_I2_001	02_P_22_S2_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74111809.0	0.0	10.0	40.0	4.722594208974173e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L002_I1_001	02_P_22_S2_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73265590.0	0.0	10.0	59.0	4.7771402646180836e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L002_I2_001	02_P_22_S2_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73265590.0	0.0	10.0	40.0	4.913629986464314e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L003_I1_001	02_P_22_S2_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68739151.0	0.0	10.0	59.0	5.091712581669797e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L003_I2_001	02_P_22_S2_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68739151.0	0.0	10.0	40.0	5.382667586336642e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L004_I1_001	02_P_22_S2_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67267981.0	0.0	10.0	59.0	5.351728930291516e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L004_I2_001	02_P_22_S2_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67267981.0	0.0	10.0	40.0	5.5003880672440574e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
03_P_23_S3_L001_I1_001	03_P_23_S3_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62429543.0	0.0	10.0	59.0	5.606320071892886e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
03_P_23_S3_L001_I2_001	03_P_23_S3_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62429543.0	0.0	10.0	40.0	5.7665006453755395e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
03_P_23_S3_L002_I1_001	03_P_23_S3_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61681207.0	0.0	10.0	59.0	5.674337728183562e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
03_P_23_S3_L002_I2_001	03_P_23_S3_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61681207.0	0.0	10.0	40.0	5.83646166327452e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
03_P_23_S3_L003_I1_001	03_P_23_S3_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57777382.0	0.0	10.0	59.0	6.057733803168859e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
03_P_23_S3_L003_I2_001	03_P_23_S3_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57777382.0	0.0	10.0	40.0	6.403890020492793e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
03_P_23_S3_L004_I1_001	03_P_23_S3_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56502821.0	0.0	10.0	59.0	6.371363298834229e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
03_P_23_S3_L004_I2_001	03_P_23_S3_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56502821.0	0.0	10.0	40.0	6.548345612690736e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
