Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
882659_TY81_S3_L001_I1_001	882659_TY81_S3_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116407292.0	0.0	10.0	59.0	3.178495037922538e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY81_S3_L001_I2_001	882659_TY81_S3_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116407292.0	0.0	10.0	50.0	3.0925897666273345e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY82_S4_L001_I1_001	882659_TY82_S4_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146567532.0	0.0	10.0	39.0	2.5244335832850076e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY82_S4_L001_I2_001	882659_TY82_S4_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146567532.0	0.0	10.0	49.0	2.456205648601629e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY83_S5_L001_I1_001	882659_TY83_S5_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167305403.0	0.0	10.0	40.0	2.21152451364646e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY83_S5_L001_I2_001	882659_TY83_S5_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167305403.0	0.0	10.0	40.0	2.1517535808452044e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY84_S6_L001_I1_001	882659_TY84_S6_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123140072.0	0.0	10.0	39.0	3.0047083292268985e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY84_S6_L001_I2_001	882659_TY84_S6_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123140072.0	0.0	10.0	50.0	2.9234999960045497e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY85_S7_L001_I1_001	882659_TY85_S7_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	194980400.0	0.0	10.0	59.0	1.8976266332410847e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY85_S7_L001_I2_001	882659_TY85_S7_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	194980400.0	0.0	10.0	50.0	1.8463394269372717e-05	10.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
882659_TY86_S8_L001_I1_001	882659_TY86_S8_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151143236.0	0.0	10.0	39.0	2.4480089866542226e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY86_S8_L001_I2_001	882659_TY86_S8_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151143236.0	0.0	10.0	40.0	2.381846581609514e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY87_S9_L001_I1_001	882659_TY87_S9_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137414503.0	0.0	10.0	49.0	2.6925833294321194e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY87_S9_L001_I2_001	882659_TY87_S9_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137414503.0	0.0	10.0	30.0	2.6198108070150355e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY88_S10_L001_I1_001	882659_TY88_S10_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146050560.0	0.0	10.0	39.0	2.533369266095248e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY88_S10_L001_I2_001	882659_TY88_S10_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146050560.0	0.0	10.0	49.0	2.4648998264710524e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY89_S11_L001_I1_001	882659_TY89_S11_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117602786.0	0.0	10.0	69.0	3.146183968804957e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY89_S11_L001_I2_001	882659_TY89_S11_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117602786.0	0.0	10.0	40.0	3.061151969648066e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY90_S12_L001_I1_001	882659_TY90_S12_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145401038.0	0.0	10.0	69.0	2.5446860977704987e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY90_S12_L001_I2_001	882659_TY90_S12_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145401038.0	0.0	10.0	50.0	2.4759107978307557e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY91_S13_L001_I1_001	882659_TY91_S13_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145247644.0	0.0	10.0	40.0	2.5473735050738584e-05	10.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
882659_TY91_S13_L001_I2_001	882659_TY91_S13_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145247644.0	0.0	10.0	59.0	2.478525572504295e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY92_S14_L001_I1_001	882659_TY92_S14_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	156850544.0	0.0	10.0	30.0	2.358933482564141e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY92_S14_L001_I2_001	882659_TY92_S14_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	156850544.0	0.0	10.0	39.0	2.295178523575921e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY93_S15_L001_I1_001	882659_TY93_S15_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117483619.0	0.0	10.0	69.0	3.149375233325082e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY93_S15_L001_I2_001	882659_TY93_S15_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117483619.0	0.0	10.0	40.0	3.064256983775755e-05	10.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
882659_TY94_S16_L001_I1_001	882659_TY94_S16_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131860211.0	0.0	10.0	69.0	2.8060018802791087e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY94_S16_L001_I2_001	882659_TY94_S16_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131860211.0	0.0	10.0	30.0	2.7301639916229162e-05	10.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	warn
882659_TY95_S17_L001_I1_001	882659_TY95_S17_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	162897354.0	0.0	10.0	29.0	2.2713689996462433e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY95_S17_L001_I2_001	882659_TY95_S17_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	162897354.0	0.0	10.0	50.0	2.209980648304453e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY96_S18_L001_I1_001	882659_TY96_S18_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134572900.0	0.0	10.0	29.0	2.7494391515676634e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
882659_TY96_S18_L001_I2_001	882659_TY96_S18_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134572900.0	0.0	10.0	59.0	2.6751299853090778e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
885788_TY81_S1_L003_I1_001	885788_TY81_S1_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	277747255.0	0.0	10.0	59.0	1.2961424227216935e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
885788_TY81_S1_L003_I2_001	885788_TY81_S1_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	277747255.0	0.0	10.0	50.0	1.4041542912818345e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
885788_TY82_S2_L003_I1_001	885788_TY82_S2_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	168893405.0	0.0	10.0	39.0	2.1315219501910095e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
885788_TY82_S2_L003_I2_001	885788_TY82_S2_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	168893405.0	0.0	10.0	49.0	2.3091487793735935e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
885788_TY83_S3_L003_I1_001	885788_TY83_S3_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	234857563.0	0.0	10.0	40.0	1.532843973178756e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
