Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
01_P_21_S1_L001_I1_001	99.9999531220243	59.0	10.0	36.36363636363637	74661927.0
01_P_21_S1_L001_I2_001	99.9999531220243	30.0	10.0	36.36363636363637	74661927.0
01_P_21_S1_L002_I1_001	99.99995241609132	59.0	10.0	36.36363636363637	73554277.0
01_P_21_S1_L002_I2_001	99.99995105655107	30.0	10.0	36.36363636363637	73554277.0
01_P_21_S1_L003_I1_001	99.9999492171593	59.0	10.0	36.36363636363637	68920918.0
01_P_21_S1_L003_I2_001	99.99994631528268	30.0	10.0	36.36363636363637	68920918.0
01_P_21_S1_L004_I1_001	99.9999465991902	59.0	10.0	36.36363636363637	67414708.0
01_P_21_S1_L004_I2_001	99.99994511583436	30.0	10.0	36.36363636363637	67414708.0
02_P_22_S2_L001_I1_001	99.99995277405792	59.0	10.0	36.36363636363637	74111809.0
02_P_22_S2_L001_I2_001	99.99995277405792	40.0	10.0	36.36363636363637	74111809.0
02_P_22_S2_L002_I1_001	99.99995222859735	59.0	10.0	36.36363636363637	73265590.0
02_P_22_S2_L002_I2_001	99.99995086370014	40.0	10.0	36.36363636363637	73265590.0
02_P_22_S2_L003_I1_001	99.99994908287418	59.0	10.0	36.36363636363637	68739151.0
02_P_22_S2_L003_I2_001	99.99994617332413	40.0	10.0	36.36363636363637	68739151.0
02_P_22_S2_L004_I1_001	99.9999464827107	59.0	10.0	36.36363636363637	67267981.0
02_P_22_S2_L004_I2_001	99.99994499611932	40.0	10.0	36.36363636363637	67267981.0
03_P_23_S3_L001_I1_001	99.99994393679928	59.0	10.0	36.36363636363637	62429543.0
03_P_23_S3_L001_I2_001	99.99994233499355	40.0	10.0	36.36363636363637	62429543.0
03_P_23_S3_L002_I1_001	99.99994325662271	59.0	10.0	36.36363636363637	61681207.0
03_P_23_S3_L002_I2_001	99.99994163538337	40.0	10.0	36.36363636363637	61681207.0
03_P_23_S3_L003_I1_001	99.99993942266197	59.0	10.0	36.36363636363637	57777382.0
03_P_23_S3_L003_I2_001	99.9999359610998	40.0	10.0	36.36363636363637	57777382.0
03_P_23_S3_L004_I1_001	99.99993628636702	59.0	10.0	36.36363636363637	56502821.0
03_P_23_S3_L004_I2_001	99.99993451654387	40.0	10.0	36.36363636363637	56502821.0
04_P_24_S4_L001_I1_001	99.99994934691604	69.0	10.0	36.36363636363637	69097471.0
04_P_24_S4_L001_I2_001	99.99994934691604	59.0	10.0	36.36363636363637	69097471.0
04_P_24_S4_L002_I1_001	99.9999487051374	69.0	10.0	36.36363636363637	68232954.0
04_P_24_S4_L002_I2_001	99.9999472395699	59.0	10.0	36.36363636363637	68232954.0
04_P_24_S4_L003_I1_001	99.99994530952877	69.0	10.0	36.36363636363637	63996523.0
04_P_24_S4_L003_I2_001	99.99994218435899	59.0	10.0	36.36363636363637	63996523.0
04_P_24_S4_L004_I1_001	99.99994248333842	69.0	10.0	36.36363636363637	62590559.0
04_P_24_S4_L004_I2_001	99.99994088565337	59.0	10.0	36.36363636363637	62590559.0
05_V_21_S5_L001_I1_001	99.99995423176262	69.0	10.0	36.36363636363637	76472248.0
05_V_21_S5_L001_I2_001	99.9999529240987	50.0	10.0	36.36363636363637	76472248.0
