# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18877
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET    1253     0.058301     0.014514     0.032409     0.036024
Endothelial               SET    1286      0.12887     0.032471     0.031913   2.7068e-05
Fibroblast                SET    1301      0.10967     0.027781     0.031668   0.00026791
Microglia                 SET    1313     0.062067      0.01579     0.031967     0.026103
Neuron_ex                 SET    1288      0.19494     0.049155      0.03171   4.0289e-10
Neuron_in                 SET    1294      0.17871     0.045159     0.032034   1.2321e-08
OPC                       SET    1279      0.13748     0.034553       0.0323   1.0452e-05
Oligo                     SET    1305      0.13192     0.033465     0.031681   1.5731e-05
Pericyte                  SET    1306      0.15652      0.03972     0.031364   3.0466e-07
SMC                       SET    1299        0.149     0.037718     0.031416   1.0638e-06
T-cell                    SET    1308      0.14693     0.037313     0.031952   2.1461e-06
Trans-Endo-to-mural       SET    1310     0.042272     0.010743     0.031415     0.089226
