# MEAN_SAMPLE_SIZE = 11226
# TOTAL_GENES = 18369
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET    1222     0.033634    0.0083817     0.026806      0.10481
Endothelial               SET    1275     0.053227     0.013528     0.026095     0.020697
Fibroblast                SET    1275     0.018812    0.0047811     0.026028      0.23493
Microglia                 SET    1288     0.017836    0.0045545     0.026288      0.24874
Neuron_ex                 SET    1257      0.01282    0.0032369     0.026426       0.3138
Neuron_in                 SET    1247      0.04111     0.010341      0.02684     0.062812
OPC                       SET    1243     0.066346     0.016665     0.027337    0.0076185
Oligo                     SET    1287     0.081523      0.02081     0.026054   0.00087866
Pericyte                  SET    1285      0.01095     0.002793     0.026059      0.33717
SMC                       SET    1278    0.0007782     0.000198     0.026282      0.48819
T-cell                    SET    1286      0.04081     0.010413     0.025709     0.056224
Trans-Endo-to-mural       SET    1293     0.055274      0.01414     0.026091     0.017076
