# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Trans-Endo-to-mural       SET    2586     0.038548     0.013412     0.020191     0.028129
Oligo                     SET    2576       0.0384     0.013339     0.020349     0.029584
Endothelial               SET    2576     0.026066    0.0090547     0.020552      0.10235
Pericyte                  SET    2586     0.074181      0.02581     0.020439   0.00014247
Astro                     SET    2492     0.035635     0.012207     0.020622     0.042001
SMC                       SET    2593     0.048747      0.01698     0.020349    0.0083038
OPC                       SET    2512     0.043592     0.014983     0.020852     0.018293
Neuron_ex                 SET    2497   -0.0020002  -0.00068578     0.020616      0.53865
Microglia                 SET    2575     0.058358     0.020268     0.020174    0.0019122
Neuron_in                 SET    2535     0.016523     0.005701     0.020768      0.21315
Fibroblast                SET    2588     0.072924     0.025381     0.020419   0.00017813
T-cell                    SET    2586     0.067862     0.023611     0.020634   0.00050412
