# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET     932     0.050651     0.011161     0.035179     0.074968
Arteriolar-SMC               SET     926       0.0769     0.016893     0.035132     0.014308
Artirial-FB                  SET     873     0.018622    0.0039779     0.034761      0.29609
Capillary                    SET     926     0.068351     0.015015      0.03501     0.025457
M-Pericyte                   SET     930     0.034306    0.0075515     0.035702       0.1683
Meningeal-FB                 SET     917   8.8378e-05   1.9325e-05     0.036145      0.49902
Microglia-vascular           SET     952     0.011449    0.0025482     0.032913      0.36398
Oligo-A                      SET     895     0.057045     0.012331       0.0364     0.058547
Pericyte                     SET     948     0.016709    0.0037115     0.034968      0.31639
Pericyte-2                   SET     883     0.050519      0.01085     0.036387     0.082523
Pericyte-FB                  SET     890    0.0032958   0.00071052     0.036185      0.46371
Perivascular                 SET     943     0.066551     0.014746     0.035106     0.029006
Perivascular-FB              SET     903     0.022574    0.0049002     0.036437      0.26778
Perivascular-FB-KAZN2        SET     943     0.075952     0.016829      0.03497     0.014938
T-Pericyte                   SET     925     0.042132    0.0092504     0.035569      0.11811
T-cell-mixed                 SET     937     0.075626     0.016706     0.035607     0.016845
T-cell-vascular              SET     930     0.039108    0.0086085     0.033784      0.12352
Trans-Endo-to-mural          SET     910     0.030703    0.0066892     0.034554      0.18713
Vascular-SMC                 SET     935     0.086897     0.019176     0.035074    0.0066197
Vascular-SMC-LINC00486       SET     947     0.054194     0.012032     0.034257     0.056835
Venous                       SET     921    0.0022938   0.00050258     0.034901       0.4738
low-feature-cells            SET     924     0.063125     0.013853     0.035976      0.03967
