# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET     932     0.062176     0.013651     0.031957     0.025861
Arteriolar-SMC               SET     926     0.029645    0.0064889     0.031727      0.17506
Artirial-FB                  SET     872   -0.0013212  -0.00028107     0.031929       0.5165
Capillary                    SET     925     0.036923    0.0080779     0.031721      0.12222
M-Pericyte                   SET     930     0.037581    0.0082428     0.032378      0.12289
Meningeal-FB                 SET     917     0.026563    0.0057874      0.03243      0.20638
Microglia-vascular           SET     950      0.03202    0.0070941     0.029858      0.14178
Oligo-A                      SET     894     0.065517     0.014104      0.03287      0.02313
Pericyte                     SET     948     0.024032    0.0053191     0.031381      0.22189
Pericyte-2                   SET     883     0.071255     0.015249     0.033387      0.01642
Pericyte-FB                  SET     890      0.02085    0.0044789     0.032893      0.26308
Perivascular                 SET     943     0.060457     0.013348     0.031226     0.026436
Perivascular-FB              SET     903    0.0078704    0.0017023     0.032505      0.40434
Perivascular-FB-KAZN2        SET     942     0.034906    0.0077026     0.031974      0.13749
T-Pericyte                   SET     925      0.06271      0.01372     0.032143     0.025539
T-cell-mixed                 SET     936     0.071409      0.01571     0.031623     0.011975
T-cell-vascular              SET     926     0.022459     0.004916     0.031459      0.23765
Trans-Endo-to-mural          SET     905    -0.015695   -0.0033984     0.032168      0.68719
Vascular-SMC                 SET     933     0.053008     0.011644     0.031664     0.047069
Vascular-SMC-LINC00486       SET     947     0.054779     0.012118     0.030839     0.037855
Venous                       SET     918   -0.0043512  -0.00094852     0.031823      0.55438
low-feature-cells            SET     924     0.035854    0.0078399     0.033275      0.14064
