# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Trans-Endo-to-mural       SET    1289     0.043227     0.011047     0.027871     0.060466
Oligo                     SET    1287     0.056379     0.014397     0.027673     0.020816
Endothelial               SET    1272     0.030612     0.007775     0.027965      0.13684
Pericyte                  SET    1284     0.066359     0.016927     0.027951    0.0088017
Astro                     SET    1221   -0.0070848   -0.0017656     0.028613      0.59778
SMC                       SET    1276     0.066848     0.017003     0.027664    0.0078425
OPC                       SET    1243       0.0378    0.0094985     0.029003     0.096249
Neuron_ex                 SET    1258     0.022678    0.0057305     0.028302      0.21149
Microglia                 SET    1288     0.085499     0.021841     0.027539   0.00095443
Neuron_in                 SET    1248     0.011102    0.0027949     0.028673      0.34931
Fibroblast                SET    1275     0.052578     0.013369     0.027801     0.029304
T-cell                    SET    1287     0.096836     0.024728     0.027564   0.00022205
