# TOTAL_GENES = 18368
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET    2491     0.036649     0.012548     0.019704     0.031453
Endothelial               SET    2578     0.041673     0.014476     0.019487     0.016248
Fibroblast                SET    2588     0.024547    0.0085404     0.019207      0.10063
Microglia                 SET    2576     0.048132     0.016714     0.019284    0.0062876
Neuron_ex                 SET    2498    0.0065317     0.002239     0.019631      0.36967
Neuron_in                 SET    2536     0.036554      0.01261     0.019574     0.030933
OPC                       SET    2513      0.03767     0.012946     0.019831     0.028757
Oligo                     SET    2577     0.021523     0.007475     0.019494      0.13479
Pericyte                  SET    2586     0.038883     0.013524     0.019282     0.021883
SMC                       SET    2595     0.030533     0.010635     0.019216     0.056047
T-cell                    SET    2583     0.044113     0.015336     0.019232      0.01091
Trans-Endo-to-mural       SET    2590     0.041783     0.014542     0.019101     0.014363
