# TOTAL_GENES = 18368
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET     250     -0.04244   -0.0049175     0.057899      0.76821
Endothelial               SET     258     0.059239    0.0069715     0.059422      0.15941
Fibroblast                SET     252    -0.058625   -0.0068197     0.058976      0.83989
Microglia                 SET     247       0.0321    0.0036974     0.059719      0.29546
Neuron_ex                 SET     255     0.048956    0.0057283     0.061713      0.21381
Neuron_in                 SET     255      0.11268     0.013185     0.061131     0.032652
OPC                       SET     257   -0.0078245  -0.00091906     0.061398       0.5507
Oligo                     SET     252     0.001889   0.00021974     0.060286       0.4875
Pericyte                  SET     261    -0.047283   -0.0055963     0.059843      0.78526
SMC                       SET     258    -0.023418    -0.002756     0.061084      0.64928
T-cell                    SET     262     0.043297    0.0051341     0.056921      0.22344
Trans-Endo-to-mural       SET     264      0.10006     0.011909     0.059265      0.04569
