# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18877
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET    2557     0.082708     0.028304      0.02336   0.00020027
Endothelial               SET    2616      0.11631     0.040188     0.023228   2.7903e-07
Fibroblast                SET    2633      0.13011     0.045079     0.023252   1.1163e-08
Microglia                 SET    2622     0.082728     0.028611     0.023201   0.00018199
Neuron_ex                 SET    2571      0.13581     0.046585     0.023014   1.8413e-09
Neuron_in                 SET    2615      0.14314     0.049448     0.023298   4.1344e-10
OPC                       SET    2588       0.1344     0.046227      0.02373   7.5564e-09
Oligo                     SET    2618      0.12398      0.04285     0.023185   4.5283e-08
Pericyte                  SET    2635       0.1222     0.042352     0.023152   6.6151e-08
SMC                       SET    2640      0.14039     0.048694     0.022923   4.6583e-10
T-cell                    SET    2632      0.13032     0.045142     0.023107   8.6747e-09
Trans-Endo-to-mural       SET    2634      0.11976     0.041498     0.022863    8.226e-08
