# TOTAL_GENES = 18473
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET    2072     0.045397     0.014326     0.023103     0.024715
M-Pericyte                   SET    2061     0.057719     0.018172     0.023228    0.0064856
Pericyte                     SET    2070     0.059426     0.018745     0.022905    0.0047422
Pericyte-2                   SET    2036     0.033227     0.010405     0.022967     0.073999
Vascular-SMC                 SET    2082     0.048689     0.015397     0.022861     0.016601
Arteriolar-SMC               SET    2067      0.04761     0.015009     0.023136     0.019811
Vascular-SMC-LINC00486       SET    2082     0.044139     0.013958     0.022745     0.026165
Trans-Endo-to-mural          SET    2050     0.032136     0.010094     0.022622     0.077734
Perivascular-FB-KAZN2        SET    2071     0.053751     0.016959     0.022901    0.0094651
Perivascular-FB              SET    2042     0.072736     0.022808     0.023336   0.00091531
Meningeal-FB                 SET    2076     0.067781     0.021408     0.023196    0.0017406
Artirial-FB                  SET    2017    0.0027025   0.00084286     0.022742       0.4527
Pericyte-FB                  SET    2038     0.010608    0.0033236     0.023254      0.32413
Capillary                    SET    2065     0.059504      0.01875     0.022929    0.0047321
Arterial                     SET    2066     0.032851     0.010354      0.02306     0.077144
Venous                       SET    2050     0.010352    0.0032516     0.022721      0.32434
T-cell-mixed                 SET    2068     0.050512     0.015927     0.022991     0.014018
T-cell-vascular              SET    2055     0.013853    0.0043559     0.022539      0.26941
Microglia-vascular           SET    2086     0.019394    0.0061384     0.022356      0.19283
