# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18877
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET     263     0.015508    0.0018178     0.067277      0.40885
M-Pericyte                   SET     264    -0.017844   -0.0020955     0.066871       0.6052
Pericyte                     SET     265    -0.093195    -0.010965     0.067342       0.9168
Pericyte-2                   SET     257     0.071947    0.0083378     0.070529      0.15385
Vascular-SMC                 SET     266     0.028988    0.0034168     0.068047      0.33506
Arteriolar-SMC               SET     263      0.03768    0.0044166     0.067973      0.28968
Vascular-SMC-LINC00486       SET     262     0.032599    0.0038138     0.069385      0.31925
Trans-Endo-to-mural          SET     259     0.064291    0.0074791     0.070115      0.17959
Perivascular-FB-KAZN2        SET     264    -0.073527   -0.0086344     0.069544      0.85479
Perivascular-FB              SET     255    -0.094339    -0.010891     0.069178      0.91366
Meningeal-FB                 SET     264   -0.0024944  -0.00029292     0.070338      0.51414
Artirial-FB                  SET     248     -0.04145   -0.0047198     0.070064      0.72293
Pericyte-FB                  SET     255    -0.077412   -0.0089365     0.068429      0.87102
Capillary                    SET     265     0.027509    0.0032364     0.068386      0.34375
Arterial                     SET     265     0.038875    0.0045737     0.068652      0.28561
Venous                       SET     265      0.12037     0.014162     0.066651      0.03547
T-cell-mixed                 SET     265      0.10707     0.012596     0.067949     0.057561
T-cell-vascular              SET     263      0.14992     0.017572     0.065943     0.011508
Microglia-vascular           SET     268     -0.04752   -0.0056219     0.065517      0.76586
