# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Trans-Endo-to-mural       SET     264      0.03197    0.0038068     0.059522       0.2956
Oligo                     SET     252    0.0073509   0.00085545     0.060657      0.45177
Endothelial               SET     258    -0.011269   -0.0013267     0.061369      0.57284
Pericyte                  SET     261    0.0050545   0.00059848     0.060401      0.46665
Astro                     SET     250    -0.042733   -0.0049536     0.061141       0.7577
SMC                       SET     258    0.0027506   0.00032383     0.060712      0.48193
OPC                       SET     257   -0.0049705  -0.00058407     0.063925      0.53099
Neuron_ex                 SET     255     0.051515    0.0060301     0.062969      0.20665
Microglia                 SET     249      0.18806     0.021757     0.059742   0.00082382
Neuron_in                 SET     255     0.067602    0.0079131      0.06418      0.14611
Fibroblast                SET     252    0.0022334   0.00025992     0.060902      0.48537
T-cell                    SET     262      0.15414     0.018285     0.056731    0.0032969
