# MEAN_SAMPLE_SIZE = 11226
# TOTAL_GENES = 18369
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET     250     0.079968    0.0092658     0.057507     0.082185
Endothelial               SET     259     0.045727    0.0053914     0.057201      0.21203
Fibroblast                SET     252     0.007288   0.00084777     0.056827      0.44898
Microglia                 SET     248       0.0162    0.0018697     0.058699      0.39128
Neuron_ex                 SET     255     0.022396    0.0026204     0.061145      0.35709
Neuron_in                 SET     255     0.070111    0.0082033     0.061157      0.12582
OPC                       SET     257     0.041358    0.0048577     0.059832      0.24471
Oligo                     SET     252      0.08926     0.010383      0.05891     0.064874
Pericyte                  SET     261     0.037509    0.0044393     0.058774      0.26168
SMC                       SET     258     0.042226    0.0049692     0.058592      0.23556
T-cell                    SET     262    -0.051578   -0.0061159     0.053744      0.83139
Trans-Endo-to-mural       SET     264     0.014539    0.0017304     0.056753      0.39891
