# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18877
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET    1323     0.082688      0.02111     0.031063    0.0038888
M-Pericyte                   SET    1323      0.07811     0.019941     0.030808    0.0056214
Pericyte                     SET    1338     0.078342     0.020105     0.030513    0.0051267
Pericyte-2                   SET    1299     0.064886     0.016426     0.031468     0.019614
Vascular-SMC                 SET    1333     0.052851      0.01354     0.030544     0.041793
Arteriolar-SMC               SET    1328     0.073539     0.018807     0.030824    0.0085282
Vascular-SMC-LINC00486       SET    1337      0.10235     0.026258      0.03023   0.00035579
Trans-Endo-to-mural          SET    1317     0.047622     0.012132     0.030202     0.057432
Perivascular-FB-KAZN2        SET    1336     0.088524     0.022702     0.030571    0.0018943
Perivascular-FB              SET    1314     0.010738    0.0027327     0.031624       0.3671
Meningeal-FB                 SET    1329     0.072633     0.018582     0.031255     0.010072
Artirial-FB                  SET    1294    -0.013742   -0.0034726     0.030626      0.67318
Pericyte-FB                  SET    1296     0.045536     0.011515     0.031262     0.072623
Capillary                    SET    1323     0.077028     0.019665     0.030992    0.0064745
Arterial                     SET    1322     0.039564     0.010097     0.030591      0.09796
Venous                       SET    1324     0.029824    0.0076166     0.030788      0.16636
T-cell-mixed                 SET    1328     0.076567     0.019581     0.031278    0.0071894
T-cell-vascular              SET    1335     0.071425     0.018311     0.029832    0.0083328
Microglia-vascular           SET    1340     0.038929    0.0099973     0.029737     0.095259
